timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),eNB id,sameCellSinr,sameCellSinr 3gpp encoded
1772735854410,00020,30,25,1,0,1,29.121201,105.000000
1772735854410,00013,30,25,1,0,1,67.538665,127.000000
1772735854410,00016,30,25,1,0,1,27.288965,101.000000
1772735854410,00017,30,25,1,0,1,29.337566,106.000000
1772735854410,00015,30,25,1,0,1,27.087089,101.000000
1772735854410,00007,30,25,1,0,1,33.370717,114.000000
1772735854410,00019,30,25,1,0,1,27.862841,103.000000
1772735854410,00018,30,25,1,0,1,28.575492,104.000000
1772735854410,00030,30,25,1,0,1,29.266439,105.000000
1772735854410,00011,30,25,1,0,1,27.864994,103.000000
1772735854410,00009,30,25,1,0,1,28.568753,104.000000
1772735854410,00028,30,25,1,0,1,38.544156,124.000000
1772735854410,00001,30,25,1,0,1,28.036175,103.000000
1772735854410,00006,30,25,1,0,1,48.435886,127.000000
1772735854410,00025,30,25,1,0,1,29.984039,107.000000
1772735854410,00024,30,25,1,0,1,27.420088,102.000000
1772735854410,00005,30,25,1,0,1,27.877210,103.000000
1772735854410,00026,30,25,1,0,1,29.007694,105.000000
1772735854410,00010,30,25,1,0,1,33.240670,113.000000
1772735854410,00021,30,25,1,0,1,29.038745,105.000000
1772735854410,00004,30,25,1,0,1,36.124283,119.000000
1772735854410,00003,30,25,1,0,1,28.663927,104.000000
1772735854410,00027,30,25,1,0,1,28.315777,103.000000
1772735854410,00022,30,25,1,0,1,26.584148,100.000000
1772735854410,00023,30,25,1,0,1,32.447036,112.000000
1772735854410,00029,30,25,1,0,1,30.325075,107.000000
1772735854410,00014,30,25,1,0,1,30.981344,109.000000
1772735854410,00008,30,25,1,0,1,29.053796,105.000000
1772735854410,00002,30,25,1,0,1,32.237657,111.000000
1772735854410,00012,30,25,1,0,1,27.080857,101.000000
1772735854510,00020,30,30,1,0,1,29.115708,105.000000
1772735854510,00013,30,30,1,0,1,66.367081,127.000000
1772735854510,00016,30,30,1,0,1,27.292694,101.000000
1772735854510,00017,30,30,1,0,1,29.359215,106.000000
1772735854510,00015,30,30,1,0,1,27.087884,101.000000
1772735854510,00007,30,30,1,0,1,33.370617,114.000000
1772735854510,00019,30,30,1,0,1,27.879835,103.000000
1772735854510,00018,30,30,1,0,1,28.577945,104.000000
1772735854510,00030,30,30,1,0,1,29.266439,105.000000
1772735854510,00011,30,30,1,0,1,27.852867,103.000000
1772735854510,00009,30,30,1,0,1,28.569083,104.000000
1772735854510,00028,30,30,1,0,1,38.544156,124.000000
1772735854510,00001,30,30,1,0,1,28.037411,103.000000
1772735854510,00006,30,30,1,0,1,48.452257,127.000000
1772735854510,00025,30,30,1,0,1,29.984039,107.000000
1772735854510,00024,30,30,1,0,1,27.420088,102.000000
1772735854510,00005,30,30,1,0,1,27.879294,103.000000
1772735854510,00026,30,30,1,0,1,29.007694,105.000000
1772735854510,00010,30,30,1,0,1,33.234765,113.000000
1772735854510,00021,30,30,1,0,1,29.038745,105.000000
1772735854510,00004,30,30,1,0,1,36.123200,119.000000
1772735854510,00003,30,30,1,0,1,28.663390,104.000000
1772735854510,00027,30,30,1,0,1,28.315777,103.000000
1772735854510,00022,30,30,1,0,1,26.584148,100.000000
1772735854510,00023,30,30,1,0,1,32.447036,112.000000
1772735854510,00029,30,30,1,0,1,30.325075,107.000000
1772735854510,00014,30,30,1,0,1,30.982866,109.000000
1772735854510,00008,30,30,1,0,1,29.049615,105.000000
1772735854510,00002,30,30,1,0,1,32.237580,111.000000
1772735854510,00012,30,30,1,0,1,27.076561,101.000000
1772735854610,00020,30,30,1,0,1,29.110218,105.000000
1772735854610,00013,30,30,1,0,1,65.298249,127.000000
1772735854610,00016,30,30,1,0,1,27.296418,101.000000
1772735854610,00017,30,30,1,0,1,29.380908,106.000000
1772735854610,00015,30,30,1,0,1,27.088676,101.000000
1772735854610,00007,30,30,1,0,1,33.370517,114.000000
1772735854610,00019,30,30,1,0,1,27.896861,103.000000
1772735854610,00018,30,30,1,0,1,28.580393,104.000000
1772735854610,00030,30,30,1,0,1,29.266439,105.000000
1772735854610,00011,30,30,1,0,1,27.840753,102.000000
1772735854610,00009,30,30,1,0,1,28.569414,104.000000
1772735854610,00028,30,30,1,0,1,38.544156,124.000000
1772735854610,00001,30,30,1,0,1,28.038647,103.000000
1772735854610,00006,30,30,1,0,1,48.468657,127.000000
1772735854610,00025,30,30,1,0,1,29.984039,107.000000
1772735854610,00024,30,30,1,0,1,27.420088,102.000000
1772735854610,00005,30,30,1,0,1,27.881377,103.000000
1772735854610,00026,30,30,1,0,1,29.007694,105.000000
1772735854610,00010,30,30,1,0,1,33.228865,113.000000
1772735854610,00021,30,30,1,0,1,29.038745,105.000000
1772735854610,00004,30,30,1,0,1,36.122107,119.000000
1772735854610,00003,30,30,1,0,1,28.662852,104.000000
1772735854610,00027,30,30,1,0,1,28.315777,103.000000
1772735854610,00022,30,30,1,0,1,26.584148,100.000000
1772735854610,00023,30,30,1,0,1,32.447036,112.000000
1772735854610,00029,30,30,1,0,1,30.325075,107.000000
1772735854610,00014,30,30,1,0,1,30.984374,109.000000
1772735854610,00008,30,30,1,0,1,29.045434,105.000000
1772735854610,00002,30,30,1,0,1,32.237501,111.000000
1772735854610,00012,30,30,1,0,1,27.072267,101.000000
1772735854710,00020,30,30,1,0,1,29.104730,105.000000
1772735854710,00013,30,30,1,0,1,64.324066,127.000000
1772735854710,00016,30,30,1,0,1,27.300135,101.000000
1772735854710,00017,30,30,1,0,1,29.402646,106.000000
1772735854710,00015,30,30,1,0,1,27.089465,101.000000
1772735854710,00007,30,30,1,0,1,33.370416,114.000000
1772735854710,00019,30,30,1,0,1,27.913919,103.000000
1772735854710,00018,30,30,1,0,1,28.582837,104.000000
1772735854710,00030,30,30,1,0,1,29.266439,105.000000
1772735854710,00011,30,30,1,0,1,27.828651,102.000000
1772735854710,00009,30,30,1,0,1,28.569744,104.000000
1772735854710,00028,30,30,1,0,1,38.544156,124.000000
1772735854710,00001,30,30,1,0,1,28.039883,103.000000
1772735854710,00006,30,30,1,0,1,48.485086,127.000000
1772735854710,00025,30,30,1,0,1,29.984039,107.000000
1772735854710,00024,30,30,1,0,1,27.420088,102.000000
1772735854710,00005,30,30,1,0,1,27.883461,103.000000
1772735854710,00026,30,30,1,0,1,29.007694,105.000000
1772735854710,00010,30,30,1,0,1,33.222968,113.000000
1772735854710,00021,30,30,1,0,1,29.038745,105.000000
1772735854710,00004,30,30,1,0,1,36.121004,119.000000
1772735854710,00003,30,30,1,0,1,28.662314,104.000000
1772735854710,00027,30,30,1,0,1,28.315777,103.000000
1772735854710,00022,30,30,1,0,1,26.584148,100.000000
1772735854710,00023,30,30,1,0,1,32.447036,112.000000
1772735854710,00029,30,30,1,0,1,30.325075,107.000000
1772735854710,00014,30,30,1,0,1,30.985868,109.000000
1772735854710,00008,30,30,1,0,1,29.041255,105.000000
1772735854710,00002,30,30,1,0,1,32.237422,111.000000
1772735854710,00012,30,30,1,0,1,27.067974,101.000000
1772735854810,00020,30,30,1,0,1,29.099245,105.000000
1772735854810,00013,30,30,1,0,1,63.433688,127.000000
1772735854810,00016,30,30,1,0,1,27.303847,101.000000
1772735854810,00017,30,30,1,0,1,29.424429,106.000000
1772735854810,00015,30,30,1,0,1,27.090250,101.000000
1772735854810,00007,30,30,1,0,1,33.370314,114.000000
1772735854810,00019,30,30,1,0,1,27.931009,103.000000
1772735854810,00018,30,30,1,0,1,28.585277,104.000000
1772735854810,00030,30,30,1,0,1,29.266439,105.000000
