timestamp,ueId,percentage
1772735854410,1,0.5
1772735854410,2,0.5
1772735854410,3,0.5
1772735854410,4,0.5
1772735854410,5,0.5
1772735854410,6,0.5
1772735854410,7,0.5
1772735854410,8,0.5
1772735854410,9,0.5
1772735854410,10,0.5
1772735854410,11,0.5
1772735854410,12,0.5
1772735854410,13,0.5
1772735854410,14,0.5
1772735854410,15,0.5
1772735854410,16,0.5
1772735854410,17,0.5
1772735854410,18,0.5
1772735854410,19,0.5
1772735854410,20,0.5
1772735854410,21,0.5
1772735854410,22,0.5
1772735854410,23,0.5
1772735854410,24,0.5
1772735854410,25,0.5
1772735854410,26,0.5
1772735854410,27,0.5
1772735854410,28,0.5
1772735854410,29,0.5
1772735854410,30,0.5
1772735854510,1,0.5
1772735854510,2,0.5
1772735854510,3,0.5
1772735854510,4,0.5
1772735854510,5,0.5
1772735854510,6,0.5
1772735854510,7,0.5
1772735854510,8,0.5
1772735854510,9,0.5
1772735854510,10,0.5
1772735854510,11,0.5
1772735854510,12,0.5
1772735854510,13,0.5
1772735854510,14,0.5
1772735854510,15,0.5
1772735854510,16,0.5
1772735854510,17,0.5
1772735854510,18,0.5
1772735854510,19,0.5
1772735854510,20,0.5
1772735854510,21,0.5
1772735854510,22,0.5
1772735854510,23,0.5
1772735854510,24,0.5
1772735854510,25,0.5
1772735854510,26,0.5
1772735854510,27,0.5
1772735854510,28,0.5
1772735854510,29,0.5
1772735854510,30,0.5
1772735854610,1,0.5
1772735854610,2,0.5
1772735854610,3,0.5
1772735854610,4,0.5
1772735854610,5,0.5
1772735854610,6,0.5
1772735854610,7,0.5
1772735854610,8,0.5
1772735854610,9,0.5
1772735854610,10,0.5
1772735854610,11,0.5
1772735854610,12,0.5
1772735854610,13,0.5
1772735854610,14,0.5
1772735854610,15,0.5
1772735854610,16,0.5
1772735854610,17,0.5
1772735854610,18,0.5
1772735854610,19,0.5
1772735854610,20,0.5
1772735854610,21,0.5
1772735854610,22,0.5
1772735854610,23,0.5
1772735854610,24,0.5
1772735854610,25,0.5
1772735854610,26,0.5
1772735854610,27,0.5
1772735854610,28,0.5
1772735854610,29,0.5
1772735854610,30,0.5
1772735854710,1,0.5
1772735854710,2,0.5
1772735854710,3,0.5
1772735854710,4,0.5
1772735854710,5,0.5
1772735854710,6,0.5
1772735854710,7,0.5
1772735854710,8,0.5
1772735854710,9,0.5
1772735854710,10,0.5
1772735854710,11,0.5
1772735854710,12,0.5
1772735854710,13,0.5
1772735854710,14,0.5
1772735854710,15,0.5
1772735854710,16,0.5
1772735854710,17,0.5
1772735854710,18,0.5
1772735854710,19,0.5
1772735854710,20,0.5
1772735854710,21,0.5
1772735854710,22,0.5
1772735854710,23,0.5
1772735854710,24,0.5
1772735854710,25,0.5
1772735854710,26,0.5
1772735854710,27,0.5
1772735854710,28,0.5
1772735854710,29,0.5
1772735854710,30,0.5
1772735854810,1,0.5
1772735854810,2,0.5
1772735854810,3,0.5
1772735854810,4,0.5
1772735854810,5,0.5
1772735854810,6,0.5
1772735854810,7,0.5
1772735854810,8,0.5
1772735854810,9,0.5
1772735854810,10,0.5
1772735854810,11,0.5
1772735854810,12,0.5
1772735854810,13,0.5
1772735854810,14,0.5
1772735854810,15,0.5
1772735854810,16,0.5
1772735854810,17,0.5
1772735854810,18,0.5
1772735854810,19,0.5
1772735854810,20,0.5
1772735854810,21,0.5
1772735854810,22,0.5
1772735854810,23,0.5
1772735854810,24,0.5
1772735854810,25,0.5
1772735854810,26,0.5
1772735854810,27,0.5
1772735854810,28,0.5
1772735854810,29,0.5
1772735854810,30,0.5
1772735854910,1,0.5
1772735854910,2,0.5
1772735854910,3,0.5
1772735854910,4,0.5
1772735854910,5,0.5
1772735854910,6,0.5
1772735854910,7,0.5
1772735854910,8,0.5
1772735854910,9,0.5
1772735854910,10,0.5
1772735854910,11,0.5
1772735854910,12,0.5
1772735854910,13,0.5
1772735854910,14,0.5
1772735854910,15,0.5
1772735854910,16,0.5
1772735854910,17,0.5
1772735854910,18,0.5
1772735854910,19,0.5
1772735854910,20,0.5
1772735854910,21,0.5
1772735854910,22,0.5
1772735854910,23,0.5
1772735854910,24,0.5
1772735854910,25,0.5
1772735854910,26,0.5
1772735854910,27,0.5
1772735854910,28,0.5
1772735854910,29,0.5
1772735854910,30,0.5
1772735855010,1,0.5
1772735855010,2,0.5
1772735855010,3,0.5
1772735855010,4,0.5
1772735855010,5,0.5
1772735855010,6,0.5
1772735855010,7,0.5
1772735855010,8,0.5
1772735855010,9,0.5
1772735855010,10,0.5
1772735855010,11,0.5
1772735855010,12,0.5
1772735855010,13,0.5
1772735855010,14,0.5
1772735855010,15,0.5
1772735855010,16,0.5
1772735855010,17,0.5
1772735855010,18,0.5
1772735855010,19,0.5
1772735855010,20,0.5
1772735855010,21,0.5
1772735855010,22,0.5
1772735855010,23,0.5
1772735855010,24,0.5
1772735855010,25,0.5
1772735855010,26,0.5
1772735855010,27,0.5
1772735855010,28,0.5
1772735855010,29,0.5
1772735855010,30,0.5
1772735855110,1,0.5
1772735855110,2,0.5
1772735855110,3,0.5
1772735855110,4,0.5
1772735855110,5,0.5
1772735855110,6,0.5
1772735855110,7,0.5
1772735855110,8,0.5
1772735855110,9,0.5
1772735855110,10,0.5
1772735855110,11,0.5
1772735855110,12,0.5
1772735855110,13,0.5
1772735855110,14,0.5
1772735855110,15,0.5
1772735855110,16,0.5
1772735855110,17,0.5
1772735855110,18,0.5
1772735855110,19,0.5
1772735855110,20,0.5
1772735855110,21,0.5
1772735855110,22,0.5
1772735855110,23,0.5
1772735855110,24,0.5
1772735855110,25,0.5
1772735855110,26,0.5
1772735855110,27,0.5
1772735855110,28,0.5
1772735855110,29,0.5
1772735855110,30,0.5
1772735855210,1,0.5
1772735855210,2,0.5
1772735855210,3,0.5
1772735855210,4,0.5
1772735855210,5,0.5
1772735855210,6,0.5
1772735855210,7,0.5
1772735855210,8,0.5
1772735855210,9,0.5
1772735855210,10,0.5
1772735855210,11,0.5
1772735855210,12,0.5
1772735855210,13,0.5
1772735855210,14,0.5
1772735855210,15,0.5
1772735855210,16,0.5
1772735855210,17,0.5
1772735855210,18,0.5
1772735855210,19,0.5
1772735855210,20,0.5
1772735855210,21,0.5
1772735855210,22,0.5
1772735855210,23,0.5
1772735855210,24,0.5
1772735855210,25,0.5
1772735855210,26,0.5
1772735855210,27,0.5
1772735855210,28,0.5
1772735855210,29,0.5
1772735855210,30,0.5
1772735855310,1,0.5
1772735855310,2,0.5
1772735855310,3,0.5
1772735855310,4,0.5
1772735855310,5,0.5
1772735855310,6,0.5
1772735855310,7,0.5
1772735855310,8,0.5
1772735855310,9,0.5
1772735855310,10,0.5
1772735855310,11,0.5
1772735855310,12,0.5
1772735855310,13,0.5
1772735855310,14,0.5
1772735855310,15,0.5
1772735855310,16,0.5
1772735855310,17,0.5
1772735855310,18,0.5
1772735855310,19,0.5
1772735855310,20,0.5
1772735855310,21,0.5
1772735855310,22,0.5
1772735855310,23,0.5
1772735855310,24,0.5
1772735855310,25,0.5
1772735855310,26,0.5
1772735855310,27,0.5
1772735855310,28,0.5
1772735855310,29,0.5
1772735855310,30,0.5
1772735855410,1,0.5
1772735855410,2,0.5
1772735855410,3,0.5
1772735855410,4,0.5
1772735855410,5,0.5
1772735855410,6,0.5
1772735855410,7,0.5
1772735855410,8,0.5
1772735855410,9,0.5
1772735855410,10,0.5
1772735855410,11,0.5
1772735855410,12,0.5
1772735855410,13,0.5
1772735855410,14,0.5
1772735855410,15,0.5
1772735855410,16,0.5
1772735855410,17,0.5
1772735855410,18,0.5
1772735855410,19,0.5
1772735855410,20,0.5
1772735855410,21,0.5
1772735855410,22,0.5
1772735855410,23,0.5
1772735855410,24,0.5
1772735855410,25,0.5
1772735855410,26,0.5
1772735855410,27,0.5
1772735855410,28,0.5
1772735855410,29,0.5
1772735855410,30,0.5
1772735855510,1,0.5
1772735855510,2,0.5
1772735855510,3,0.5
1772735855510,4,0.5
1772735855510,5,0.5
1772735855510,6,0.5
1772735855510,7,0.5
1772735855510,8,0.5
1772735855510,9,0.5
1772735855510,10,0.5
1772735855510,11,0.5
1772735855510,12,0.5
1772735855510,13,0.5
1772735855510,14,0.5
1772735855510,15,0.5
1772735855510,16,0.5
1772735855510,17,0.5
1772735855510,18,0.5
1772735855510,19,0.5
1772735855510,20,0.5
1772735855510,21,0.5
1772735855510,22,0.5
1772735855510,23,0.5
1772735855510,24,0.5
1772735855510,25,0.5
1772735855510,26,0.5
1772735855510,27,0.5
1772735855510,28,0.5
1772735855510,29,0.5
1772735855510,30,0.5
1772735855610,1,0.5
1772735855610,2,0.5
1772735855610,3,0.5
1772735855610,4,0.5
1772735855610,5,0.5
1772735855610,6,0.5
1772735855610,7,0.5
1772735855610,8,0.5
1772735855610,9,0.5
1772735855610,10,0.5
1772735855610,11,0.5
1772735855610,12,0.5
1772735855610,13,0.5
1772735855610,14,0.5
1772735855610,15,0.5
1772735855610,16,0.5
1772735855610,17,0.5
1772735855610,18,0.5
1772735855610,19,0.5
1772735855610,20,0.5
1772735855610,21,0.5
1772735855610,22,0.5
1772735855610,23,0.5
1772735855610,24,0.5
1772735855610,25,0.5
1772735855610,26,0.5
1772735855610,27,0.5
1772735855610,28,0.5
1772735855610,29,0.5
1772735855610,30,0.5
1772735855710,1,0.5
1772735855710,2,0.5
1772735855710,3,0.5
1772735855710,4,0.5
1772735855710,5,0.5
1772735855710,6,0.5
1772735855710,7,0.5
1772735855710,8,0.5
1772735855710,9,0.5
1772735855710,10,0.5
1772735855710,11,0.5
1772735855710,12,0.5
1772735855710,13,0.5
1772735855710,14,0.5
1772735855710,15,0.5
1772735855710,16,0.5
1772735855710,17,0.5
1772735855710,18,0.5
1772735855710,19,0.5
1772735855710,20,0.5
1772735855710,21,0.5
1772735855710,22,0.5
1772735855710,23,0.5
1772735855710,24,0.5
1772735855710,25,0.5
1772735855710,26,0.5
1772735855710,27,0.5
1772735855710,28,0.5
1772735855710,29,0.5
1772735855710,30,0.5
1772735855810,1,0.5
1772735855810,2,0.5
1772735855810,3,0.5
1772735855810,4,0.5
1772735855810,5,0.5
1772735855810,6,0.5
1772735855810,7,0.5
1772735855810,8,0.5
1772735855810,9,0.5
1772735855810,10,0.5
1772735855810,11,0.5
1772735855810,12,0.5
1772735855810,13,0.5
1772735855810,14,0.5
1772735855810,15,0.5
1772735855810,16,0.5
1772735855810,17,0.5
1772735855810,18,0.5
1772735855810,19,0.5
1772735855810,20,0.5
1772735855810,21,0.5
1772735855810,22,0.5
1772735855810,23,0.5
1772735855810,24,0.5
1772735855810,25,0.5
1772735855810,26,0.5
1772735855810,27,0.5
1772735855810,28,0.5
1772735855810,29,0.5
1772735855810,30,0.5
1772735855910,1,0.5
1772735855910,2,0.5
1772735855910,3,0.5
1772735855910,4,0.5
1772735855910,5,0.5
1772735855910,6,0.5
1772735855910,7,0.5
1772735855910,8,0.5
1772735855910,9,0.5
1772735855910,10,0.5
1772735855910,11,0.5
1772735855910,12,0.5
1772735855910,13,0.5
1772735855910,14,0.5
1772735855910,15,0.5
1772735855910,16,0.5
1772735855910,17,0.5
1772735855910,18,0.5
1772735855910,19,0.5
1772735855910,20,0.5
1772735855910,21,0.5
1772735855910,22,0.5
1772735855910,23,0.5
1772735855910,24,0.5
1772735855910,25,0.5
1772735855910,26,0.5
1772735855910,27,0.5
1772735855910,28,0.5
1772735855910,29,0.5
1772735855910,30,0.5
1772735856010,1,0.5
1772735856010,2,0.5
1772735856010,3,0.5
1772735856010,4,0.5
1772735856010,5,0.5
1772735856010,6,0.5
1772735856010,7,0.5
1772735856010,8,0.5
1772735856010,9,0.5
1772735856010,10,0.5
1772735856010,11,0.5
1772735856010,12,0.5
1772735856010,13,0.5
1772735856010,14,0.5
1772735856010,15,0.5
1772735856010,16,0.5
1772735856010,17,0.5
1772735856010,18,0.5
1772735856010,19,0.5
1772735856010,20,0.5
1772735856010,21,0.5
1772735856010,22,0.5
1772735856010,23,0.5
1772735856010,24,0.5
1772735856010,25,0.5
1772735856010,26,0.5
1772735856010,27,0.5
1772735856010,28,0.5
1772735856010,29,0.5
1772735856010,30,0.5
1772735856110,1,0.5
1772735856110,2,0.5
1772735856110,3,0.5
1772735856110,4,0.5
1772735856110,5,0.5
1772735856110,6,0.5
1772735856110,7,0.5
1772735856110,8,0.5
1772735856110,9,0.5
1772735856110,10,0.5
1772735856110,11,0.5
1772735856110,12,0.5
1772735856110,13,0.5
1772735856110,14,0.5
1772735856110,15,0.5
1772735856110,16,0.5
1772735856110,17,0.5
1772735856110,18,0.5
1772735856110,19,0.5
1772735856110,20,0.5
1772735856110,21,0.5
1772735856110,22,0.5
1772735856110,23,0.5
1772735856110,24,0.5
1772735856110,25,0.5
1772735856110,26,0.5
1772735856110,27,0.5
1772735856110,28,0.5
1772735856110,29,0.5
1772735856110,30,0.5
1772735856210,1,0.5
1772735856210,2,0.5
1772735856210,3,0.5
1772735856210,4,0.5
1772735856210,5,0.5
1772735856210,6,0.5
1772735856210,7,0.5
1772735856210,8,0.5
1772735856210,9,0.5
1772735856210,10,0.5
1772735856210,11,0.5
1772735856210,12,0.5
1772735856210,13,0.5
1772735856210,14,0.5
1772735856210,15,0.5
1772735856210,16,0.5
1772735856210,17,0.5
1772735856210,18,0.5
1772735856210,19,0.5
1772735856210,20,0.5
1772735856210,21,0.5
1772735856210,22,0.5
1772735856210,23,0.5
1772735856210,24,0.5
1772735856210,25,0.5
1772735856210,26,0.5
1772735856210,27,0.5
1772735856210,28,0.5
1772735856210,29,0.5
1772735856210,30,0.5
1772735856310,1,0.5
1772735856310,2,0.5
1772735856310,3,0.5
1772735856310,4,0.5
1772735856310,5,0.5
1772735856310,6,0.5
1772735856310,7,0.5
1772735856310,8,0.5
1772735856310,9,0.5
1772735856310,10,0.5
1772735856310,11,0.5
1772735856310,12,0.5
1772735856310,13,0.5
1772735856310,14,0.5
1772735856310,15,0.5
1772735856310,16,0.5
1772735856310,17,0.5
1772735856310,18,0.5
1772735856310,19,0.5
1772735856310,20,0.5
1772735856310,21,0.5
1772735856310,22,0.5
1772735856310,23,0.5
1772735856310,24,0.5
1772735856310,25,0.5
1772735856310,26,0.5
1772735856310,27,0.5
1772735856310,28,0.5
1772735856310,29,0.5
1772735856310,30,0.5
1772735856410,1,0.5
1772735856410,2,0.5
1772735856410,3,0.5
1772735856410,4,0.5
1772735856410,5,0.5
1772735856410,6,0.5
1772735856410,7,0.5
1772735856410,8,0.5
1772735856410,9,0.5
1772735856410,10,0.5
1772735856410,11,0.5
1772735856410,12,0.5
1772735856410,13,0.5
1772735856410,14,0.5
1772735856410,15,0.5
1772735856410,16,0.5
1772735856410,17,0.5
1772735856410,18,0.5
1772735856410,19,0.5
1772735856410,20,0.5
1772735856410,21,0.5
1772735856410,22,0.5
1772735856410,23,0.5
1772735856410,24,0.5
1772735856410,25,0.5
1772735856410,26,0.5
1772735856410,27,0.5
1772735856410,28,0.5
1772735856410,29,0.5
1772735856410,30,0.5
1772735856510,1,0.5
1772735856510,2,0.5
1772735856510,3,0.5
1772735856510,4,0.5
1772735856510,5,0.5
1772735856510,6,0.5
1772735856510,7,0.5
1772735856510,8,0.5
1772735856510,9,0.5
1772735856510,10,0.5
1772735856510,11,0.5
1772735856510,12,0.5
1772735856510,13,0.5
1772735856510,14,0.5
1772735856510,15,0.5
1772735856510,16,0.5
1772735856510,17,0.5
1772735856510,18,0.5
1772735856510,19,0.5
1772735856510,20,0.5
1772735856510,21,0.5
1772735856510,22,0.5
1772735856510,23,0.5
1772735856510,24,0.5
1772735856510,25,0.5
1772735856510,26,0.5
1772735856510,27,0.5
1772735856510,28,0.5
1772735856510,29,0.5
1772735856510,30,0.5
1772735856610,1,0.5
1772735856610,2,0.5
1772735856610,3,0.5
1772735856610,4,0.5
1772735856610,5,0.5
1772735856610,6,0.5
1772735856610,7,0.5
1772735856610,8,0.5
1772735856610,9,0.5
1772735856610,10,0.5
1772735856610,11,0.5
1772735856610,12,0.5
1772735856610,13,0.5
1772735856610,14,0.5
1772735856610,15,0.5
1772735856610,16,0.5
